SUCCESS;46 1522753406.556342 1522753406.557333 1522753406.557341 1522753406.557461;0.0011110305786132812,0.0004355907440185547;1522753406.5579572
SUCCESS;47 1522753416.56093 1522753416.562021 1522753416.562028 1522753416.562155;0.0012180805206298828,0.0004819631576538086;1522753416.5626693
SUCCESS;48 1522753426.562302 1522753426.563956 1522753426.563966 1522753426.564104;0.0017919540405273438,0.0007579326629638672;1522753426.5646229
SUCCESS;49 1522753436.567019 1522753436.568124 1522753436.56813 1522753436.568215;0.0011899471282958984,0.000510096549987793;1522753436.5687013
SUCCESS;50 1522753446.570464 1522753446.571409 1522753446.571415 1522753446.571519;0.001049041748046875,0.00042057037353515625;1522753446.57202
SUCCESS;51 1522753456.570623 1522753456.571527 1522753456.571532 1522753456.571627;0.0009989738464355469,0.00040459632873535156;1522753456.572115
SUCCESS;52 1522753466.575239 1522753466.576318 1522753466.576325 1522753466.576427;0.0011811256408691406,0.0004885196685791016;1522753466.5768836
SUCCESS;53 1522753476.576289 1522753476.577308 1522753476.577315 1522753476.577423;0.001127004623413086,0.00045549869537353516;1522753476.5778775
SUCCESS;54 1522753486.578982 1522753486.580099 1522753486.580107 1522753486.580202;0.0012121200561523438,0.0005109310150146484;1522753486.5806737
SUCCESS;55 1522753496.583129 1522753496.584001 1522753496.584007 1522753496.584096;0.0009610652923583984,0.0003916025161743164;1522753496.5845497
SUCCESS;56 1522753506.58338 1522753506.584339 1522753506.584346 1522753506.584453;0.001065969467163086,0.0004259347915649414;1522753506.5848994
SUCCESS;57 1522753516.583808 1522753516.584837 1522753516.584843 1522753516.584935;0.0011210441589355469,0.0004684925079345703;1522753516.5853724
SUCCESS;58 1522753526.586482 1522753526.587682 1522753526.587688 1522753526.587776;0.0012879371643066406,0.0005559921264648438;1522753526.5882206
SUCCESS;59 1522753536.586418 1522753536.587149 1522753536.587154 1522753536.587222;0.0007991790771484375,0.0003314018249511719;1522753536.5876474
SUCCESS;60 1522753546.588065 1522753546.58912 1522753546.589127 1522753546.589229;0.0011570453643798828,0.00047647953033447266;1522753546.5896075
SUCCESS;61 1522753556.589998 1522753556.591183 1522753556.591189 1522753556.591295;0.001291036605834961,0.0005394220352172852;1522753556.5916765
SUCCESS;62 1522753566.594415 1522753566.595316 1522753566.595321 1522753566.595406;0.0009860992431640625,0.00040793418884277344;1522753566.5957794
SUCCESS;63 1522753576.59695 1522753576.597956 1522753576.597964 1522753576.59808;0.0011217594146728516,0.0004450082778930664;1522753576.5984774
SUCCESS;64 1522753586.5997 1522753586.600697 1522753586.600704 1522753586.600812;0.0011050701141357422,0.0004445314407348633;1522753586.6011984
SUCCESS;65 1522753596.599659 1522753596.600507 1522753596.600513 1522753596.600595;0.0009300708770751953,0.00038301944732666016;1522753596.6009665
SUCCESS;66 1522753606.602329 1522753606.603203 1522753606.603208 1522753606.603294;0.0009598731994628906,0.0003941059112548828;1522753606.6037114
SUCCESS;67 1522753616.607545 1522753616.608551 1522753616.608558 1522753616.608675;0.001123189926147461,0.0004445314407348633;1522753616.6091194
SUCCESS;68 1522753626.611634 1522753626.612788 1522753626.612798 1522753626.612962;0.0013179779052734375,0.0004949569702148438;1522753626.613412
SUCCESS;69 1522753636.614027 1522753636.615229 1522753636.615237 1522753636.615349;0.001313924789428711,0.0005449056625366211;1522753636.615807
SUCCESS;70 1522753646.617023 1522753646.618784 1522753646.618791 1522753646.618901;0.001870870590209961,0.0008255243301391602;1522753646.6193352
SUCCESS;71 1522753656.620013 1522753656.62107 1522753656.621075 1522753656.621154;0.0011360645294189453,0.0004888772964477539;1522753656.621581
SUCCESS;72 1522753666.623753 1522753666.624734 1522753666.624741 1522753666.624843;0.0010826587677001953,0.00043952465057373047;1522753666.62528
SUCCESS;73 1522753676.623846 1522753676.624749 1522753676.624755 1522753676.62486;0.0010080337524414062,0.00039887428283691406;1522753676.6252933
SUCCESS;74 1522753686.625103 1522753686.6262 1522753686.626205 1522753686.626325;0.001216888427734375,0.0004885196685791016;1522753686.626769
